County Formatted,County,State Formatted,State,Population
Quitman,QUITMAN,Georgia,GEORGIA,2299
Rabun,RABUN,Georgia,GEORGIA,17137
Randolph,RANDOLPH,Georgia,GEORGIA,6778
Richmond,RICHMOND,Georgia,GEORGIA,202518
Rockdale,ROCKDALE,Georgia,GEORGIA,90896
Schley,SCHLEY,Georgia,GEORGIA,5257
Screven,SCREVEN,Georgia,GEORGIA,13966
Seminole,SEMINOLE,Georgia,GEORGIA,8090
Spalding,SPALDING,Georgia,GEORGIA,66703
Stephens,STEPHENS,Georgia,GEORGIA,25925
Stewart,STEWART,Georgia,GEORGIA,6621
Sumter,SUMTER,Georgia,GEORGIA,29524
Talbot,TALBOT,Georgia,GEORGIA,6195
Taliaferro,TALIAFERRO,Georgia,GEORGIA,1537
Tattnall,TATTNALL,Georgia,GEORGIA,25286
Taylor,TAYLOR,Georgia,GEORGIA,8020
Telfair,TELFAIR,Georgia,GEORGIA,15860
Terrell,TERRELL,Georgia,GEORGIA,8531
Thomas,THOMAS,Georgia,GEORGIA,44451
Tift,TIFT,Georgia,GEORGIA,40644
Toombs,TOOMBS,Georgia,GEORGIA,26830
Towns,TOWNS,Georgia,GEORGIA,12037
Treutlen,TREUTLEN,Georgia,GEORGIA,6901
Troup,TROUP,Georgia,GEORGIA,69922
Turner,TURNER,Georgia,GEORGIA,7985
Twiggs,TWIGGS,Georgia,GEORGIA,8120
Union,UNION,Georgia,GEORGIA,24511
Upson,UPSON,Georgia,GEORGIA,26320
Walker,WALKER,Georgia,GEORGIA,69761
Walton,WALTON,Georgia,GEORGIA,94593
Ware,WARE,Georgia,GEORGIA,35734
Warren,WARREN,Georgia,GEORGIA,5254
Washington,WASHINGTON,Georgia,GEORGIA,20374
Wayne,WAYNE,Georgia,GEORGIA,29927
Webster,WEBSTER,Georgia,GEORGIA,2607
Wheeler,WHEELER,Georgia,GEORGIA,7855
White,WHITE,Georgia,GEORGIA,30798
Whitfield,WHITFIELD,Georgia,GEORGIA,104628
Wilcox,WILCOX,Georgia,GEORGIA,8635
Wilkes,WILKES,Georgia,GEORGIA,9777
Wilkinson,WILKINSON,Georgia,GEORGIA,8954
Worth,WORTH,Georgia,GEORGIA,20247
Hawaii,HAWAII,Hawaii,HAWAII,201513
Honolulu,HONOLULU,Hawaii,HAWAII,974563
Kalawao,KALAWAO,Hawaii,HAWAII,86
Kauai,KAUAI,Hawaii,HAWAII,72293
Maui,MAUI,Hawaii,HAWAII,167417
Ada,ADA,Idaho,IDAHO,481587
Adams,ADAMS,Idaho,IDAHO,4294
Bannock,BANNOCK,Idaho,IDAHO,87808
Bear Lake,BEARLAKE,Idaho,IDAHO,6125
Benewah,BENEWAH,Idaho,IDAHO,9298
Bingham,BINGHAM,Idaho,IDAHO,46811
Blaine,BLAINE,Idaho,IDAHO,23021
Boise,BOISE,Idaho,IDAHO,7831
Bonner,BONNER,Idaho,IDAHO,45739
Bonneville,BONNEVILLE,Idaho,IDAHO,119062
Boundary,BOUNDARY,Idaho,IDAHO,12245
Butte,BUTTE,Idaho,IDAHO,2597
Camas,CAMAS,Idaho,IDAHO,1106
Canyon,CANYON,Idaho,IDAHO,229849
Caribou,CARIBOU,Idaho,IDAHO,7155
Cassia,CASSIA,Idaho,IDAHO,24030
Clark,CLARK,Idaho,IDAHO,845
Clearwater,CLEARWATER,Idaho,IDAHO,8756
Custer,CUSTER,Idaho,IDAHO,4315
Elmore,ELMORE,Idaho,IDAHO,27511
Franklin,FRANKLIN,Idaho,IDAHO,13876
Fremont,FREMONT,Idaho,IDAHO,13099
Gem,GEM,Idaho,IDAHO,18112
Gooding,GOODING,Idaho,IDAHO,15179
Idaho,IDAHO,Idaho,IDAHO,16667
Jefferson,JEFFERSON,Idaho,IDAHO,29871
Jerome,JEROME,Idaho,IDAHO,24412
Kootenai,KOOTENAI,Idaho,IDAHO,165697
Latah,LATAH,Idaho,IDAHO,40108
Lemhi,LEMHI,Idaho,IDAHO,8027
Lewis,LEWIS,Idaho,IDAHO,3838
Lincoln,LINCOLN,Idaho,IDAHO,5366
Madison,MADISON,Idaho,IDAHO,39907
Minidoka,MINIDOKA,Idaho,IDAHO,21039
Nez Perce,NEZPERCE,Idaho,IDAHO,40408
Oneida,ONEIDA,Idaho,IDAHO,4531
Owyhee,OWYHEE,Idaho,IDAHO,11823
Payette,PAYETTE,Idaho,IDAHO,23951
Power,POWER,Idaho,IDAHO,7681
Shoshone,SHOSHONE,Idaho,IDAHO,12882
Teton,TETON,Idaho,IDAHO,12142
Twin Falls,TWINFALLS,Idaho,IDAHO,86878
Valley,VALLEY,Idaho,IDAHO,11392
Washington,WASHINGTON,Idaho,IDAHO,10194
Adams,ADAMS,Illinois,ILLINOIS,65435
Alexander,ALEXANDER,Illinois,ILLINOIS,5761
Bond,BOND,Illinois,ILLINOIS,16426
Boone,BOONE,Illinois,ILLINOIS,53544
Brown,BROWN,Illinois,ILLINOIS,6578
Bureau,BUREAU,Illinois,ILLINOIS,32628
Calhoun,CALHOUN,Illinois,ILLINOIS,4739
Carroll,CARROLL,Illinois,ILLINOIS,14305
Cass,CASS,Illinois,ILLINOIS,12147
Champaign,CHAMPAIGN,Illinois,ILLINOIS,209689
Christian,CHRISTIAN,Illinois,ILLINOIS,32304
Clark,CLARK,Illinois,ILLINOIS,15441
Clay,CLAY,Illinois,ILLINOIS,13184
Clinton,CLINTON,Illinois,ILLINOIS,37562
Coles,COLES,Illinois,ILLINOIS,50621
Cook,COOK,Illinois,ILLINOIS,5150233
Crawford,CRAWFORD,Illinois,ILLINOIS,18667
Cumberland,CUMBERLAND,Illinois,ILLINOIS,10766
DeKalb,DEKALB,Illinois,ILLINOIS,104897
De Witt,DEWITT,Illinois,ILLINOIS,15638
Douglas,DOUGLAS,Illinois,ILLINOIS,19465
DuPage,DUPAGE,Illinois,ILLINOIS,922921
Edgar,EDGAR,Illinois,ILLINOIS,17161
Edwards,EDWARDS,Illinois,ILLINOIS,6395
Effingham,EFFINGHAM,Illinois,ILLINOIS,34008
Fayette,FAYETTE,Illinois,ILLINOIS,21336
Ford,FORD,Illinois,ILLINOIS,12961
Franklin,FRANKLIN,Illinois,ILLINOIS,38469
Fulton,FULTON,Illinois,ILLINOIS,34340
Gallatin,GALLATIN,Illinois,ILLINOIS,4828
Greene,GREENE,Illinois,ILLINOIS,12969
Grundy,GRUNDY,Illinois,ILLINOIS,51054
Hamilton,HAMILTON,Illinois,ILLINOIS,8116
Hancock,HANCOCK,Illinois,ILLINOIS,17708
Hardin,HARDIN,Illinois,ILLINOIS,3821
Henderson,HENDERSON,Illinois,ILLINOIS,6646
Henry,HENRY,Illinois,ILLINOIS,48913
Iroquois,IROQUOIS,Illinois,ILLINOIS,27114
Jackson,JACKSON,Illinois,ILLINOIS,56750
Jasper,JASPER,Illinois,ILLINOIS,9610
Jefferson,JEFFERSON,Illinois,ILLINOIS,37684
Jersey,JERSEY,Illinois,ILLINOIS,21773
Jo Daviess,JODAVIESS,Illinois,ILLINOIS,21235
Johnson,JOHNSON,Illinois,ILLINOIS,12417
Kane,KANE,Illinois,ILLINOIS,532403
Kankakee,KANKAKEE,Illinois,ILLINOIS,109862
Kendall,KENDALL,Illinois,ILLINOIS,128990
Knox,KNOX,Illinois,ILLINOIS,49699
Lake,LAKE,Illinois,ILLINOIS,696535
LaSalle,LASALLE,Illinois,ILLINOIS,108669
Lawrence,LAWRENCE,Illinois,ILLINOIS,15678
Lee,LEE,Illinois,ILLINOIS,34096
Livingston,LIVINGSTON,Illinois,ILLINOIS,35648
Logan,LOGAN,Illinois,ILLINOIS,28618
McDonough,MCDONOUGH,Illinois,ILLINOIS,29682
McHenry,MCHENRY,Illinois,ILLINOIS,307774
McLean,MCLEAN,Illinois,ILLINOIS,171517
Macon,MACON,Illinois,ILLINOIS,104009
Macoupin,MACOUPIN,Illinois,ILLINOIS,44926
Madison,MADISON,Illinois,ILLINOIS,262966
Marion,MARION,Illinois,ILLINOIS,37205
Marshall,MARSHALL,Illinois,ILLINOIS,11438
Mason,MASON,Illinois,ILLINOIS,13359
Massac,MASSAC,Illinois,ILLINOIS,13772
Menard,MENARD,Illinois,ILLINOIS,12196
Mercer,MERCER,Illinois,ILLINOIS,15437
Monroe,MONROE,Illinois,ILLINOIS,34637
Montgomery,MONTGOMERY,Illinois,ILLINOIS,28414
Morgan,MORGAN,Illinois,ILLINOIS,33658
Moultrie,MOULTRIE,Illinois,ILLINOIS,14501
Ogle,OGLE,Illinois,ILLINOIS,50643
Peoria,PEORIA,Illinois,ILLINOIS,179179
Perry,PERRY,Illinois,ILLINOIS,20916
Piatt,PIATT,Illinois,ILLINOIS,16344
Pike,PIKE,Illinois,ILLINOIS,15561
Pope,POPE,Illinois,ILLINOIS,4177
Pulaski,PULASKI,Illinois,ILLINOIS,5335
Putnam,PUTNAM,Illinois,ILLINOIS,5739
Randolph,RANDOLPH,Illinois,ILLINOIS,31782
Richland,RICHLAND,Illinois,ILLINOIS,15513
Rock Island,ROCKISLAND,Illinois,ILLINOIS,141879
St. Clair,ST.CLAIR,Illinois,ILLINOIS,259686
Saline,SALINE,Illinois,ILLINOIS,23491
Sangamon,SANGAMON,Illinois,ILLINOIS,194672
Schuyler,SCHUYLER,Illinois,ILLINOIS,6768
Scott,SCOTT,Illinois,ILLINOIS,4951
Shelby,SHELBY,Illinois,ILLINOIS,21634
Stark,STARK,Illinois,ILLINOIS,5342
Stephenson,STEPHENSON,Illinois,ILLINOIS,44498
Tazewell,TAZEWELL,Illinois,ILLINOIS,131803
Union,UNION,Illinois,ILLINOIS,16653
Vermilion,VERMILION,Illinois,ILLINOIS,75758
Wabash,WABASH,Illinois,ILLINOIS,11520
Warren,WARREN,Illinois,ILLINOIS,16844
Washington,WASHINGTON,Illinois,ILLINOIS,13887
Wayne,WAYNE,Illinois,ILLINOIS,16215
White,WHITE,Illinois,ILLINOIS,13537
Whiteside,WHITESIDE,Illinois,ILLINOIS,55175
Will,WILL,Illinois,ILLINOIS,690743
Williamson,WILLIAMSON,Illinois,ILLINOIS,66597
Winnebago,WINNEBAGO,Illinois,ILLINOIS,282572
Woodford,WOODFORD,Illinois,ILLINOIS,38459
Adams,ADAMS,Indiana,INDIANA,35777
Allen,ALLEN,Indiana,INDIANA,379299
Bartholomew,BARTHOLOMEW,Indiana,INDIANA,83779
Benton,BENTON,Indiana,INDIANA,8748
Blackford,BLACKFORD,Indiana,INDIANA,11758
Boone,BOONE,Indiana,INDIANA,67843
Brown,BROWN,Indiana,INDIANA,15092
Carroll,CARROLL,Indiana,INDIANA,20257
Cass,CASS,Indiana,INDIANA,37689
Clark,CLARK,Indiana,INDIANA,118302
Clay,CLAY,Indiana,INDIANA,26225
Clinton,CLINTON,Indiana,INDIANA,32399
Crawford,CRAWFORD,Indiana,INDIANA,10577
Daviess,DAVIESS,Indiana,INDIANA,33351
Dearborn,DEARBORN,Indiana,INDIANA,49458
Decatur,DECATUR,Indiana,INDIANA,26559
DeKalb,DEKALB,Indiana,INDIANA,43475
Delaware,DELAWARE,Indiana,INDIANA,114135
Dubois,DUBOIS,Indiana,INDIANA,42736
Elkhart,ELKHART,Indiana,INDIANA,206341
Fayette,FAYETTE,Indiana,INDIANA,23102
Floyd,FLOYD,Indiana,INDIANA,78522
Fountain,FOUNTAIN,Indiana,INDIANA,16346
Franklin,FRANKLIN,Indiana,INDIANA,22758
Fulton,FULTON,Indiana,INDIANA,19974
Gibson,GIBSON,Indiana,INDIANA,33659
Grant,GRANT,Indiana,INDIANA,65769
Greene,GREENE,Indiana,INDIANA,31922
Hamilton,HAMILTON,Indiana,INDIANA,338011
Hancock,HANCOCK,Indiana,INDIANA,78168
Harrison,HARRISON,Indiana,INDIANA,40515
Hendricks,HENDRICKS,Indiana,INDIANA,170311
Henry,HENRY,Indiana,INDIANA,47972
Howard,HOWARD,Indiana,INDIANA,82544
Huntington,HUNTINGTON,Indiana,INDIANA,36520
Jackson,JACKSON,Indiana,INDIANA,44231
Jasper,JASPER,Indiana,INDIANA,33562
Jay,JAY,Indiana,INDIANA,20436
Jefferson,JEFFERSON,Indiana,INDIANA,32308
Jennings,JENNINGS,Indiana,INDIANA,27735
Johnson,JOHNSON,Indiana,INDIANA,158167
Knox,KNOX,Indiana,INDIANA,36594
Kosciusko,KOSCIUSKO,Indiana,INDIANA,79456
LaGrange,LAGRANGE,Indiana,INDIANA,39614
Lake,LAKE,Indiana,INDIANA,485493
LaPorte,LAPORTE,Indiana,INDIANA,109888
Lawrence,LAWRENCE,Indiana,INDIANA,45370
Madison,MADISON,Indiana,INDIANA,129569
Marion,MARION,Indiana,INDIANA,964582
Marshall,MARSHALL,Indiana,INDIANA,46258
Martin,MARTIN,Indiana,INDIANA,10255
Miami,MIAMI,Indiana,INDIANA,35516
Monroe,MONROE,Indiana,INDIANA,148431
Montgomery,MONTGOMERY,Indiana,INDIANA,38338
Morgan,MORGAN,Indiana,INDIANA,70489
Newton,NEWTON,Indiana,INDIANA,13984
Noble,NOBLE,Indiana,INDIANA,47744
Ohio,OHIO,Indiana,INDIANA,5875
Orange,ORANGE,Indiana,INDIANA,19646
Owen,OWEN,Indiana,INDIANA,20799
Parke,PARKE,Indiana,INDIANA,16937
Perry,PERRY,Indiana,INDIANA,19169
Pike,PIKE,Indiana,INDIANA,12389
Porter,PORTER,Indiana,INDIANA,170389
Posey,POSEY,Indiana,INDIANA,25427
Pulaski,PULASKI,Indiana,INDIANA,12353
Putnam,PUTNAM,Indiana,INDIANA,37576
Randolph,RANDOLPH,Indiana,INDIANA,24665
Ripley,RIPLEY,Indiana,INDIANA,28324
Rush,RUSH,Indiana,INDIANA,16581
St. Joseph,ST.JOSEPH,Indiana,INDIANA,271826
Scott,SCOTT,Indiana,INDIANA,23873
Shelby,SHELBY,Indiana,INDIANA,44729
Spencer,SPENCER,Indiana,INDIANA,20277
Starke,STARKE,Indiana,INDIANA,22995
Steuben,STEUBEN,Indiana,INDIANA,34594
Sullivan,SULLIVAN,Indiana,INDIANA,20669
Switzerland,SWITZERLAND,Indiana,INDIANA,10751
Tippecanoe,TIPPECANOE,Indiana,INDIANA,195732
Tipton,TIPTON,Indiana,INDIANA,15148
Union,UNION,Indiana,INDIANA,7054
Vanderburgh,VANDERBURGH,Indiana,INDIANA,181451
Vermillion,VERMILLION,Indiana,INDIANA,15498
Vigo,VIGO,Indiana,INDIANA,107038
Wabash,WABASH,Indiana,INDIANA,30996
Warren,WARREN,Indiana,INDIANA,8265
Warrick,WARRICK,Indiana,INDIANA,62998
Washington,WASHINGTON,Indiana,INDIANA,28036
Wayne,WAYNE,Indiana,INDIANA,65884
Wells,WELLS,Indiana,INDIANA,28296
White,WHITE,Indiana,INDIANA,24102
Whitley,WHITLEY,Indiana,INDIANA,33964
Adair,ADAIR,Iowa,IOWA,7152
Adams,ADAMS,Iowa,IOWA,3602
Allamakee,ALLAMAKEE,Iowa,IOWA,13687
Appanoose,APPANOOSE,Iowa,IOWA,12426
Audubon,AUDUBON,Iowa,IOWA,5496
Benton,BENTON,Iowa,IOWA,25645
Black Hawk,BLACKHAWK,Iowa,IOWA,131228
Boone,BOONE,Iowa,IOWA,26234
Bremer,BREMER,Iowa,IOWA,25062
Buchanan,BUCHANAN,Iowa,IOWA,21175
Buena Vista,BUENAVISTA,Iowa,IOWA,19620
Butler,BUTLER,Iowa,IOWA,14439
Calhoun,CALHOUN,Iowa,IOWA,9668
Carroll,CARROLL,Iowa,IOWA,20165
Cass,CASS,Iowa,IOWA,12836
Cedar,CEDAR,Iowa,IOWA,18627
Cerro Gordo,CERROGORDO,Iowa,IOWA,42450
Cherokee,CHEROKEE,Iowa,IOWA,11235
Chickasaw,CHICKASAW,Iowa,IOWA,11933
Clarke,CLARKE,Iowa,IOWA,9395
Clay,CLAY,Iowa,IOWA,16016
Clayton,CLAYTON,Iowa,IOWA,17549
Clinton,CLINTON,Iowa,IOWA,46429
Crawford,CRAWFORD,Iowa,IOWA,16820
Dallas,DALLAS,Iowa,IOWA,93453
Davis,DAVIS,Iowa,IOWA,9000
Decatur,DECATUR,Iowa,IOWA,7870
Delaware,DELAWARE,Iowa,IOWA,17011
Des Moines,DESMOINES,Iowa,IOWA,38967
Dickinson,DICKINSON,Iowa,IOWA,17258
Dubuque,DUBUQUE,Iowa,IOWA,97311
Emmet,EMMET,Iowa,IOWA,9208
Fayette,FAYETTE,Iowa,IOWA,19650
Floyd,FLOYD,Iowa,IOWA,15642
Franklin,FRANKLIN,Iowa,IOWA,10070
Fremont,FREMONT,Iowa,IOWA,6960
Greene,GREENE,Iowa,IOWA,8888
Grundy,GRUNDY,Iowa,IOWA,12232
Guthrie,GUTHRIE,Iowa,IOWA,10689
Hamilton,HAMILTON,Iowa,IOWA,14773
Hancock,HANCOCK,Iowa,IOWA,10630
Hardin,HARDIN,Iowa,IOWA,16846
Harrison,HARRISON,Iowa,IOWA,14049
Henry,HENRY,Iowa,IOWA,19954
Howard,HOWARD,Iowa,IOWA,9158
Humboldt,HUMBOLDT,Iowa,IOWA,9558
Ida,IDA,Iowa,IOWA,6860
Iowa,IOWA,Iowa,IOWA,16184
Jackson,JACKSON,Iowa,IOWA,19439
Jasper,JASPER,Iowa,IOWA,37185
Jefferson,JEFFERSON,Iowa,IOWA,18295
Johnson,JOHNSON,Iowa,IOWA,151140
Jones,JONES,Iowa,IOWA,20681
Keokuk,KEOKUK,Iowa,IOWA,10246
Kossuth,KOSSUTH,Iowa,IOWA,14813
Lee,LEE,Iowa,IOWA,33657
Linn,LINN,Iowa,IOWA,226706
Louisa,LOUISA,Iowa,IOWA,11035
Lucas,LUCAS,Iowa,IOWA,8600
Lyon,LYON,Iowa,IOWA,11755
Madison,MADISON,Iowa,IOWA,16338
Mahaska,MAHASKA,Iowa,IOWA,22095
Marion,MARION,Iowa,IOWA,33253
Marshall,MARSHALL,Iowa,IOWA,39369
Mills,MILLS,Iowa,IOWA,15109
Mitchell,MITCHELL,Iowa,IOWA,10586
Monona,MONONA,Iowa,IOWA,8615
Monroe,MONROE,Iowa,IOWA,7707
Montgomery,MONTGOMERY,Iowa,IOWA,9917
Muscatine,MUSCATINE,Iowa,IOWA,42664
O'Brien,O'BRIEN,Iowa,IOWA,13753
Osceola,OSCEOLA,Iowa,IOWA,5958
Page,PAGE,Iowa,IOWA,15107
Palo Alto,PALOALTO,Iowa,IOWA,8886
Plymouth,PLYMOUTH,Iowa,IOWA,25177
Pocahontas,POCAHONTAS,Iowa,IOWA,6619
Polk,POLK,Iowa,IOWA,490161
Pottawattamie,POTTAWATTAMIE,Iowa,IOWA,93206
Poweshiek,POWESHIEK,Iowa,IOWA,18504
Ringgold,RINGGOLD,Iowa,IOWA,4894
Sac,SAC,Iowa,IOWA,9721
Scott,SCOTT,Iowa,IOWA,172943
Shelby,SHELBY,Iowa,IOWA,11454
Sioux,SIOUX,Iowa,IOWA,34855
Story,STORY,Iowa,IOWA,97117
Tama,TAMA,Iowa,IOWA,16854
Taylor,TAYLOR,Iowa,IOWA,6121
Union,UNION,Iowa,IOWA,12241
Van Buren,VANBUREN,Iowa,IOWA,7044
Wapello,WAPELLO,Iowa,IOWA,34969
Warren,WARREN,Iowa,IOWA,51466
Washington,WASHINGTON,Iowa,IOWA,21965
Wayne,WAYNE,Iowa,IOWA,6441
Webster,WEBSTER,Iowa,IOWA,35904
Winnebago,WINNEBAGO,Iowa,IOWA,10354
Winneshiek,WINNESHIEK,Iowa,IOWA,19991
Woodbury,WOODBURY,Iowa,IOWA,103107
Worth,WORTH,Iowa,IOWA,7381
Wright,WRIGHT,Iowa,IOWA,12562
Allen,ALLEN,Kansas,KANSAS,12369
Anderson,ANDERSON,Kansas,KANSAS,7858
Atchison,ATCHISON,Kansas,KANSAS,16073
Barber,BARBER,Kansas,KANSAS,4427
Barton,BARTON,Kansas,KANSAS,25779
Bourbon,BOURBON,Kansas,KANSAS,14534
Brown,BROWN,Kansas,KANSAS,9564
Butler,BUTLER,Kansas,KANSAS,66911
Chase,CHASE,Kansas,KANSAS,2648
Chautauqua,CHAUTAUQUA,Kansas,KANSAS,3250
Cherokee,CHEROKEE,Kansas,KANSAS,19939
Cheyenne,CHEYENNE,Kansas,KANSAS,2657
Clark,CLARK,Kansas,KANSAS,1994
Clay,CLAY,Kansas,KANSAS,8002
Cloud,CLOUD,Kansas,KANSAS,8786
Coffey,COFFEY,Kansas,KANSAS,8179
Comanche,COMANCHE,Kansas,KANSAS,1700
Cowley,COWLEY,Kansas,KANSAS,34908
Crawford,CRAWFORD,Kansas,KANSAS,38818
Decatur,DECATUR,Kansas,KANSAS,2827
Dickinson,DICKINSON,Kansas,KANSAS,18466
Doniphan,DONIPHAN,Kansas,KANSAS,7600
Douglas,DOUGLAS,Kansas,KANSAS,122259
Edwards,EDWARDS,Kansas,KANSAS,2798
Elk,ELK,Kansas,KANSAS,2530
Ellis,ELLIS,Kansas,KANSAS,28553
Ellsworth,ELLSWORTH,Kansas,KANSAS,6102
Finney,FINNEY,Kansas,KANSAS,36467
Ford,FORD,Kansas,KANSAS,33619
Franklin,FRANKLIN,Kansas,KANSAS,25544
Geary,GEARY,Kansas,KANSAS,31670
Gove,GOVE,Kansas,KANSAS,2636
Graham,GRAHAM,Kansas,KANSAS,2482
Grant,GRANT,Kansas,KANSAS,7150
Gray,GRAY,Kansas,KANSAS,5988
Greeley,GREELEY,Kansas,KANSAS,1232
Greenwood,GREENWOOD,Kansas,KANSAS,5982
Hamilton,HAMILTON,Kansas,KANSAS,2539
Harper,HARPER,Kansas,KANSAS,5436
Harvey,HARVEY,Kansas,KANSAS,34429
Haskell,HASKELL,Kansas,KANSAS,3968
Hodgeman,HODGEMAN,Kansas,KANSAS,1794
Jackson,JACKSON,Kansas,KANSAS,13171
Jefferson,JEFFERSON,Kansas,KANSAS,19043
Jewell,JEWELL,Kansas,KANSAS,2879
Johnson,JOHNSON,Kansas,KANSAS,602401
Kearny,KEARNY,Kansas,KANSAS,3838
Kingman,KINGMAN,Kansas,KANSAS,7152
Kiowa,KIOWA,Kansas,KANSAS,2475
Labette,LABETTE,Kansas,KANSAS,19618
Lane,LANE,Kansas,KANSAS,1535
Leavenworth,LEAVENWORTH,Kansas,KANSAS,81758
Lincoln,LINCOLN,Kansas,KANSAS,2962
Linn,LINN,Kansas,KANSAS,9703
Logan,LOGAN,Kansas,KANSAS,2794
Lyon,LYON,Kansas,KANSAS,33195
McPherson,MCPHERSON,Kansas,KANSAS,28542
Marion,MARION,Kansas,KANSAS,11884
Marshall,MARSHALL,Kansas,KANSAS,9707
Meade,MEADE,Kansas,KANSAS,4033
Miami,MIAMI,Kansas,KANSAS,34237
Mitchell,MITCHELL,Kansas,KANSAS,5979
Montgomery,MONTGOMERY,Kansas,KANSAS,31829
Morris,MORRIS,Kansas,KANSAS,5620
Morton,MORTON,Kansas,KANSAS,2587
Nemaha,NEMAHA,Kansas,KANSAS,10231
Neosho,NEOSHO,Kansas,KANSAS,16007
Ness,NESS,Kansas,KANSAS,2750
Norton,NORTON,Kansas,KANSAS,5361
Osage,OSAGE,Kansas,KANSAS,15949
Osborne,OSBORNE,Kansas,KANSAS,3421
Ottawa,OTTAWA,Kansas,KANSAS,5704
Pawnee,PAWNEE,Kansas,KANSAS,6414
Phillips,PHILLIPS,Kansas,KANSAS,5234
Pottawatomie,POTTAWATOMIE,Kansas,KANSAS,24383
Pratt,PRATT,Kansas,KANSAS,9164
Rawlins,RAWLINS,Kansas,KANSAS,2530
Reno,RENO,Kansas,KANSAS,61998
Republic,REPUBLIC,Kansas,KANSAS,4636
Rice,RICE,Kansas,KANSAS,9537
Riley,RILEY,Kansas,KANSAS,74232
Rooks,ROOKS,Kansas,KANSAS,4920
Rush,RUSH,Kansas,KANSAS,3036
Russell,RUSSELL,Kansas,KANSAS,6856
Saline,SALINE,Kansas,KANSAS,54224
Scott,SCOTT,Kansas,KANSAS,4823
Sedgwick,SEDGWICK,Kansas,KANSAS,516042
Seward,SEWARD,Kansas,KANSAS,21428
Shawnee,SHAWNEE,Kansas,KANSAS,176875
Sheridan,SHERIDAN,Kansas,KANSAS,2521
Sherman,SHERMAN,Kansas,KANSAS,5917
Smith,SMITH,Kansas,KANSAS,3583
Stafford,STAFFORD,Kansas,KANSAS,4156
Stanton,STANTON,Kansas,KANSAS,2006
Stevens,STEVENS,Kansas,KANSAS,5485
Sumner,SUMNER,Kansas,KANSAS,22836
Thomas,THOMAS,Kansas,KANSAS,7777
Trego,TREGO,Kansas,KANSAS,2803
Wabaunsee,WABAUNSEE,Kansas,KANSAS,6931
Wallace,WALLACE,Kansas,KANSAS,1518
Washington,WASHINGTON,Kansas,KANSAS,5406
Wichita,WICHITA,Kansas,KANSAS,2119
Wilson,WILSON,Kansas,KANSAS,8525
Woodson,WOODSON,Kansas,KANSAS,3138
Wyandotte,WYANDOTTE,Kansas,KANSAS,165429
Adair,ADAIR,Kentucky,KENTUCKY,19202
Allen,ALLEN,Kentucky,KENTUCKY,21315
Anderson,ANDERSON,Kentucky,KENTUCKY,22747
Ballard,BALLARD,Kentucky,KENTUCKY,7888
Barren,BARREN,Kentucky,KENTUCKY,44249
Bath,BATH,Kentucky,KENTUCKY,12500
Bell,BELL,Kentucky,KENTUCKY,26032
Boone,BOONE,Kentucky,KENTUCKY,133581
Bourbon,BOURBON,Kentucky,KENTUCKY,19788
Boyd,BOYD,Kentucky,KENTUCKY,46718
Boyle,BOYLE,Kentucky,KENTUCKY,30060
Bracken,BRACKEN,Kentucky,KENTUCKY,8303
Breathitt,BREATHITT,Kentucky,KENTUCKY,12630
Breckinridge,BRECKINRIDGE,Kentucky,KENTUCKY,20477
Bullitt,BULLITT,Kentucky,KENTUCKY,81676
Butler,BUTLER,Kentucky,KENTUCKY,12879
Caldwell,CALDWELL,Kentucky,KENTUCKY,12747
Calloway,CALLOWAY,Kentucky,KENTUCKY,39001
Campbell,CAMPBELL,Kentucky,KENTUCKY,93584
Carlisle,CARLISLE,Kentucky,KENTUCKY,4760
Carroll,CARROLL,Kentucky,KENTUCKY,10631
Carter,CARTER,Kentucky,KENTUCKY,26797
Casey,CASEY,Kentucky,KENTUCKY,16159
Christian,CHRISTIAN,Kentucky,KENTUCKY,70461
Clark,CLARK,Kentucky,KENTUCKY,36263
Clay,CLAY,Kentucky,KENTUCKY,19901
Clinton,CLINTON,Kentucky,KENTUCKY,10218
Crittenden,CRITTENDEN,Kentucky,KENTUCKY,8806
Cumberland,CUMBERLAND,Kentucky,KENTUCKY,6614
Daviess,DAVIESS,Kentucky,KENTUCKY,101511
Edmonson,EDMONSON,Kentucky,KENTUCKY,12150
Elliott,ELLIOTT,Kentucky,KENTUCKY,7517
Estill,ESTILL,Kentucky,KENTUCKY,14106
Fayette,FAYETTE,Kentucky,KENTUCKY,323152
Fleming,FLEMING,Kentucky,KENTUCKY,14581
Floyd,FLOYD,Kentucky,KENTUCKY,35589
Franklin,FRANKLIN,Kentucky,KENTUCKY,50991
Fulton,FULTON,Kentucky,KENTUCKY,5969
Gallatin,GALLATIN,Kentucky,KENTUCKY,8869
Garrard,GARRARD,Kentucky,KENTUCKY,17666
Grant,GRANT,Kentucky,KENTUCKY,25069
Graves,GRAVES,Kentucky,KENTUCKY,37266
Grayson,GRAYSON,Kentucky,KENTUCKY,26427
Green,GREEN,Kentucky,KENTUCKY,10941
Greenup,GREENUP,Kentucky,KENTUCKY,35098
Hancock,HANCOCK,Kentucky,KENTUCKY,8722
Hardin,HARDIN,Kentucky,KENTUCKY,110958
Harlan,HARLAN,Kentucky,KENTUCKY,26010
Harrison,HARRISON,Kentucky,KENTUCKY,18886
Hart,HART,Kentucky,KENTUCKY,19035
Henderson,HENDERSON,Kentucky,KENTUCKY,45210
